id,fire_name,total_acres_burned,county_id,injuries,structure_impacted
693,Salmon-August Complex ,0,47,0,0
694,King Incident,0,54,0,0
695,Oroville Spillway ,0,4,0,0
696,Ranch Fire (Mendocino Complex),410203,"6,11,17,23",3,1296
697,Carr Fire,229651,"45,53",0,1675
698,Woolsey Fire,96949,"19,56",0,1984
699,Ferguson Fire,96901,22,0,0
700,County Fire,90288,"28,57",1,29
701,Delta Fire,63311,"45,53",0,42
702,River Fire (Mendocino Complex),48920,"6,17,23",0,1060
703,Hirz Fire,46150,45,0,0
704,Klamathon Fire,38008,47,3,95
705,Donnell Fire,36450,55,0,0
706,Whaleback Fire,18703,18,0,0
707,Pawnee Fire,15185,17,1,22
708,Waverly Fire,12300,39,0,1
709,Boot Fire,6974,26,0,0
710,Planada Fire,4564,24,0,0
711,Lions Fire,4064,20,0,0
712,Sun Fire,3889,52,0,0
713,Lane Fire,3716,52,1,0
714,Mill Creek 1 Fire,3674,12,0,0
715,Charlie Fire,3380,19,0,0
716,Five Fire,2995,16,0,0
717,Tarina Fire,2950,15,0,0
718,Georges Fire,2883,14,0,0
719,Snell Fire,2490,28,0,0
720,Chrome Fire,2290,11,0,1
721,Turkey Fire,2225,27,0,0
722,Hat Fire,1900,45,0,0
723,Nees Fire,1756,24,0,0
724,Kerlin Fire,1751,53,0,0
725,Nurse Fire,1500,48,0,0
726,Airline Fire,1314,35,0,0
727,Moffat Fire,1265,14,0,0
728,Patterson Fire,1261,33,0,0
729,Front Fire,1014,42,0,0
730,Eel Fire,972,23,0,0
731,Dale Fire,856,52,0,0
732,Irish Fire,825,3,0,1
733,Eighty Eight Fire,822,57,0,0
734,Sunset Fire,700,31,0,0
735,Tumbleweed Fire,646,18,0,0
736,Eastern Fire,513,35,0,0
737,Hyatt Fire,441,18,0,4
738,San Ardo,375,27,0,0
739,Call Fire,367,15,0,0
740,Pasqual Fire,365,37,0,0
741,Shippee Fire,347,4,0,0
742,Bascom Fire,328,45,0,0
743,Shingle Fire,316,9,0,0
744,ONeals Fire,300,20,0,0
745,Alpha Fire,300,37,0,0
746,South Fire,290,5,0,0
747,Skyline Fire,282,33,0,0
748,Stoll Fire,268,52,0,24
749,Recycle Fire,265,37,1,0
